Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
55,Yes,Travel_Frequently,1321,Sales,24,4,Marketing,1,1901,3,Female,76,2,4,Research Scientist,1,Divorced,17028,24725,7,Y,No,20,4,2,80,0,5,4,2,5,5,5,5
22,Yes,Travel_Rarely,1342,Research & Development,8,3,Marketing,1,1902,2,Male,54,2,4,Manufacturing Director,1,Married,2733,7802,1,Y,Yes,22,3,2,80,0,33,1,2,14,7,5,12
39,No,Travel_Rarely,751,Research & Development,3,3,Technical Degree,1,1903,2,Male,70,4,3,Research Director,2,Single,15724,9995,3,Y,No,19,4,3,80,1,7,1,4,0,0,0,0
51,No,Travel_Rarely,553,Research & Development,10,1,Marketing,1,1904,3,Male,60,3,5,Research Scientist,4,Divorced,2760,3704,0,Y,No,18,3,4,80,0,18,2,2,18,11,1,6
18,No,Travel_Rarely,187,Sales,6,3,Marketing,1,1905,3,Male,42,2,5,Manager,4,Divorced,19941,25258,0,Y,No,20,3,3,80,3,29,1,2,29,0,4,2
43,No,Travel_Rarely,180,Sales,26,4,Human Resources,1,1906,3,Male,35,1,3,Laboratory Technician,4,Married,14790,2333,6,Y,Yes,20,3,1,80,0,16,2,1,6,5,4,3
60,Yes,Travel_Rarely,1286,Research & Development,21,2,Other,1,1907,4,Female,30,3,3,Laboratory Technician,1,Divorced,11853,14371,9,Y,No,20,3,3,80,2,30,4,1,21,3,4,1
27,Yes,Travel_Rarely,586,Research & Development,21,4,Medical,1,1908,3,Female,37,3,1,Manager,1,Single,14383,6176,8,Y,No,18,3,3,80,2,21,6,1,0,0,0,0
47,No,Travel_Frequently,940,Research & Development,12,4,Medical,1,1909,2,Male,85,1,4,Laboratory Technician,4,Divorced,15505,20627,0,Y,Yes,24,3,4,80,1,4,3,2,2,2,2,2
35,No,Travel_Rarely,115,Research & Development,29,3,Marketing,1,1910,3,Female,91,1,5,Research Scientist,4,Married,2890,3484,4,Y,No,18,3,3,80,2,31,4,4,16,13,9,4
34,Yes,Travel_Rarely,1056,Research & Development,4,4,Life Sciences,1,1911,2,Female,98,3,2,Research Scientist,1,Married,8341,23685,0,Y,Yes,13,3,3,80,2,1,0,3,1,0,1,1
43,No,Travel_Rarely,1410,Research & Development,29,2,Human Resources,1,1912,2,Male,51,3,4,Laboratory Technician,3,Divorced,4666,9040,6,Y,No,20,4,1,80,0,10,6,2,10,10,4,10
25,No,Travel_Frequently,909,Sales,17,3,Other,1,1913,1,Female,93,2,5,Research Scientist,2,Single,9786,18616,5,Y,No,22,3,4,80,1,0,6,4,0,0,0,0
57,Yes,Travel_Rarely,1495,Research & Development,25,5,Other,1,1914,2,Male,98,4,1,Manager,2,Single,4466,18276,1,Y,Yes,12,4,1,80,2,1,1,4,1,1,1,1
29,No,Travel_Rarely,1309,Research & Development,22,4,Marketing,1,1915,1,Female,46,4,4,Manufacturing Director,2,Married,17695,20498,7,Y,No,23,3,4,80,2,7,6,2,7,7,7,2
44,No,Travel_Frequently,439,Research & Development,3,4,Life Sciences,1,1916,3,Male,47,2,4,Sales Executive,3,Divorced,14335,5886,4,Y,No,16,3,2,80,3,33,5,4,4,3,2,2
25,Yes,Non-Travel,213,Human Resources,4,1,Life Sciences,1,1917,1,Male,74,1,5,Laboratory Technician,4,Single,18973,26920,5,Y,No,25,3,4,80,2,12,5,2,12,1,5,6
42,No,Travel_Rarely,154,Sales,21,5,Other,1,1918,4,Male,83,1,2,Laboratory Technician,1,Married,10679,11577,3,Y,No,12,3,3,80,0,16,6,1,16,14,6,5
21,No,Non-Travel,1109,Research & Development,14,5,Human Resources,1,1919,4,Male,68,1,3,Manufacturing Director,3,Married,15359,26171,2,Y,No,13,3,1,80,3,14,2,1,14,14,6,6
50,Yes,Travel_Frequently,628,Research & Development,9,2,Medical,1,1920,4,Male,94,1,2,Manager,2,Married,17270,11274,7,Y,Yes,13,3,2,80,0,23,3,4,23,8,6,3
18,No,Travel_Rarely,1123,Sales,21,5,Other,1,1921,3,Male,83,2,1,Sales Executive,4,Married,15692,24912,6,Y,No,15,3,4,80,1,6,0,1,6,6,6,6
36,No,Non-Travel,1169,Sales,5,1,Other,1,1922,2,Male,45,3,4,Research Scientist,2,Divorced,8671,22749,6,Y,No,23,4,3,80,0,28,4,4,2,2,2,2
48,No,Travel_Frequently,261,Research & Development,18,2,Technical Degree,1,1923,4,Male,98,2,5,Laboratory Technician,2,Married,19939,15537,1,Y,No,15,3,2,80,0,26,1,2,24,18,5,12
33,No,Travel_Rarely,393,Research & Development,6,5,Life Sciences,1,1924,1,Male,61,1,4,Healthcare Representative,3,Divorced,4433,11597,2,Y,No,21,3,1,80,0,2,5,2,2,0,2,2
31,No,Travel_Rarely,545,Sales,27,2,Technical Degree,1,1925,3,Female,55,2,3,Sales Representative,4,Married,11685,23500,0,Y,Yes,22,3,4,80,2,17,4,4,17,3,2,2
22,No,Non-Travel,355,Research & Development,12,5,Technical Degree,1,1926,3,Male,64,4,2,Sales Executive,3,Married,5265,25079,4,Y,No,12,3,1,80,1,31,3,4,11,11,10,11
58,Yes,Travel_Frequently,797,Sales,1,5,Human Resources,1,1927,1,Male,82,4,2,Research Scientist,1,Married,12480,9618,6,Y,No,16,3,2,80,1,35,5,1,20,0,4,11
43,No,Travel_Rarely,237,Research & Development,22,5,Other,1,1928,1,Female,72,1,1,Manufacturing Director,3,Single,4091,13241,2,Y,No,15,4,3,80,1,24,0,3,24,15,13,1
45,No,Travel_Rarely,1189,Research & Development,9,4,Medical,1,1929,3,Male,70,2,5,Sales Executive,1,Single,15176,9944,8,Y,No,20,3,2,80,2,3,3,1,3,3,3,2
19,No,Travel_Rarely,1346,Sales,27,5,Human Resources,1,1930,3,Male,53,4,3,Sales Executive,1,Married,3597,2836,7,Y,No,16,3,3,80,0,25,1,2,25,13,4,11
23,No,Travel_Rarely,775,Research & Development,21,4,Life Sciences,1,1931,2,Male,73,3,3,Human Resources,1,Married,8218,10600,2,Y,No,12,3,3,80,1,38,4,3,19,7,7,4
26,No,Non-Travel,459,Sales,11,3,Medical,1,1932,3,Female,52,1,5,Manager,4,Married,2793,4751,7,Y,Yes,16,3,4,80,0,40,4,4,14,0,8,6
50,No,Travel_Rarely,1230,Research & Development,24,1,Other,1,1933,1,Female,74,2,1,Research Scientist,4,Married,5122,26891,0,Y,Yes,17,3,2,80,3,3,2,4,3,3,3,1
58,Yes,Non-Travel,943,Sales,10,2,Marketing,1,1934,3,Male,84,1,3,Sales Representative,2,Divorced,17966,11760,3,Y,Yes,18,3,2,80,3,20,5,4,11,5,11,6
42,Yes,Travel_Frequently,1417,Research & Development,28,2,Medical,1,1935,3,Male,99,4,1,Manager,1,Married,12635,6356,8,Y,No,24,3,2,80,0,15,6,2,15,15,11,9
30,Yes,Travel_Rarely,1217,Sales,6,3,Human Resources,1,1936,1,Male,98,3,5,Manager,4,Single,15045,5174,4,Y,No,18,3,1,80,1,4,2,1,4,4,4,4
26,No,Travel_Rarely,1333,Research & Development,6,5,Human Resources,1,1937,2,Male,93,4,5,Research Director,3,Married,10110,26394,5,Y,No,25,3,4,80,2,29,2,4,29,4,5,1
30,No,Travel_Rarely,432,Research & Development,6,1,Technical Degree,1,1938,3,Male,43,1,5,Laboratory Technician,3,Married,16640,8816,6,Y,No,11,3,4,80,2,20,1,4,20,0,7,1
48,No,Travel_Rarely,678,Sales,17,3,Other,1,1939,4,Female,59,3,3,Research Scientist,4,Divorced,16037,14034,4,Y,No,20,3,3,80,1,33,6,3,3,3,1,3
58,Yes,Travel_Rarely,743,Research & Development,7,3,Marketing,1,1940,4,Male,33,2,5,Human Resources,4,Divorced,12715,6327,9,Y,No,11,3,1,80,0,5,4,3,5,5,5,5
28,No,Travel_Rarely,367,Sales,15,2,Other,1,1941,1,Female,35,4,3,Healthcare Representative,2,Married,2852,14407,7,Y,No,13,4,1,80,0,31,4,1,18,13,9,11
21,No,Travel_Rarely,1490,Research & Development,19,4,Medical,1,1942,1,Female,68,3,1,Manager,2,Single,9093,13794,7,Y,No,20,3,3,80,3,27,5,3,6,6,6,0
51,No,Travel_Frequently,494,Sales,11,4,Marketing,1,1943,1,Male,47,1,4,Sales Representative,2,Married,17177,11610,6,Y,No,18,3,3,80,3,15,6,4,15,15,12,11
55,No,Travel_Frequently,494,Research & Development,19,5,Other,1,1944,4,Female,80,2,1,Research Scientist,3,Divorced,6632,24395,9,Y,No,22,4,4,80,0,14,6,3,0,0,0,0
21,No,Travel_Rarely,1052,Research & Development,13,5,Technical Degree,1,1945,1,Female,85,1,3,Manager,3,Single,18930,11672,9,Y,No,16,3,1,80,0,7,6,1,0,0,0,0
55,Yes,Travel_Rarely,1294,Research & Development,23,3,Marketing,1,1946,4,Female,86,1,2,Sales Executive,1,Divorced,4493,15930,8,Y,Yes,12,3,4,80,0,10,4,1,10,10,7,10
36,No,Travel_Rarely,1016,Research & Development,6,5,Marketing,1,1947,2,Male,88,2,2,Human Resources,3,Married,2412,23521,2,Y,No,14,3,3,80,1,4,0,1,4,4,0,4
23,No,Travel_Rarely,1146,Research & Development,15,4,Medical,1,1948,1,Female,90,3,4,Manager,4,Divorced,4761,5723,6,Y,No,13,4,1,80,1,22,6,4,22,11,9,12
51,No,Travel_Rarely,416,Research & Development,3,1,Marketing,1,1949,3,Female,46,3,5,Sales Representative,2,Married,14064,4790,5,Y,No,23,3,2,80,0,3,5,4,3,0,3,3
35,Yes,Travel_Rarely,1042,Research & Development,5,2,Technical Degree,1,1950,2,Female,67,2,1,Healthcare Representative,1,Married,17494,9254,0,Y,Yes,21,3,4,80,0,27,3,3,10,10,5,10
30,No,Travel_Rarely,692,Research & Development,13,4,Life Sciences,1,1951,4,Male,66,2,1,Research Scientist,1,Married,9760,6913,5,Y,Yes,17,3,3,80,3,30,2,4,30,16,3,12
58,No,Travel_Rarely,676,Sales,17,5,Life Sciences,1,1952,1,Female,46,1,3,Manufacturing Director,4,Divorced,5529,15797,0,Y,No,24,3,2,80,3,10,1,4,10,3,10,2
40,No,Travel_Rarely,1002,Research & Development,2,2,Human Resources,1,1953,3,Female,60,1,4,Healthcare Representative,2,Married,15504,10359,7,Y,Yes,24,3,4,80,2,38,6,1,8,5,8,6
36,Yes,Travel_Rarely,497,Research & Development,20,2,Life Sciences,1,1954,4,Male,43,4,5,Research Scientist,1,Married,8505,4508,5,Y,No,13,3,1,80,2,0,4,3,0,0,0,0
28,No,Travel_Rarely,292,Research & Development,12,3,Medical,1,1955,2,Female,82,2,4,Human Resources,2,Married,6550,18802,5,Y,Yes,15,3,2,80,1,35,5,4,18,3,0,4
18,Yes,Travel_Rarely,405,Research & Development,21,5,Human Resources,1,1956,3,Male,65,4,2,Research Scientist,2,Divorced,11992,20103,6,Y,Yes,22,3,4,80,0,36,0,3,19,18,7,14
41,No,Travel_Rarely,556,Sales,3,3,Life Sciences,1,1957,2,Male,34,2,4,Research Scientist,2,Married,9711,4146,9,Y,No,23,3,4,80,3,19,6,3,19,8,7,6
24,No,Non-Travel,897,Research & Development,8,2,Life Sciences,1,1958,1,Male,69,4,5,Research Scientist,3,Divorced,16555,9254,9,Y,No,18,3,2,80,3,7,0,1,6,3,2,6
42,Yes,Travel_Rarely,861,Sales,22,3,Human Resources,1,1959,3,Male,99,1,5,Research Scientist,2,Divorced,5073,18910,4,Y,Yes,11,3,1,80,1,34,3,3,31,18,7,10
38,Yes,Travel_Frequently,792,Sales,19,5,Medical,1,1960,1,Female,98,1,1,Healthcare Representative,2,Married,14923,8279,2,Y,Yes,19,3,1,80,0,15,6,1,15,8,13,1
32,No,Travel_Rarely,313,Sales,15,4,Human Resources,1,1961,4,Male,51,3,1,Sales Representative,4,Single,14163,13278,1,Y,No,13,3,4,80,1,40,0,1,19,14,6,7
18,No,Travel_Rarely,545,Research & Development,21,1,Medical,1,1962,4,Male,43,4,5,Sales Executive,4,Divorced,16588,20624,7,Y,Yes,16,3,3,80,2,2,4,4,2,2,2,2
29,No,Travel_Rarely,368,Sales,18,4,Medical,1,1963,2,Male,54,2,1,Human Resources,1,Single,16928,16626,5,Y,Yes,13,3,2,80,1,31,2,4,0,0,0,0
24,No,Travel_Rarely,691,Sales,26,2,Other,1,1964,1,Male,94,4,1,Manager,1,Single,15950,14345,1,Y,No,20,3,1,80,1,9,3,3,4,3,4,4
32,No,Travel_Rarely,655,Research & Development,25,4,Technical Degree,1,1965,1,Female,78,1,1,Sales Executive,2,Single,11106,21878,4,Y,No,21,3,1,80,1,17,4,2,9,9,4,8
38,No,Travel_Frequently,383,Sales,24,3,Life Sciences,1,1966,3,Male,64,3,5,Sales Executive,4,Single,4938,3376,6,Y,No,20,4,1,80,1,30,6,4,30,10,11,12
36,No,Travel_Frequently,332,Sales,28,5,Other,1,1967,4,Male,81,4,1,Human Resources,1,Divorced,13484,12004,2,Y,No,15,3,3,80,3,8,0,3,2,0,2,1
46,No,Travel_Rarely,606,Sales,4,4,Life Sciences,1,1968,1,Female,58,1,2,Human Resources,3,Single,2155,26926,9,Y,No,16,4,3,80,1,22,1,4,0,0,0,0
42,Yes,Travel_Rarely,971,Research & Development,20,4,Other,1,1969,1,Male,87,2,5,Sales Executive,4,Single,9812,14219,7,Y,No,24,3,1,80,1,11,1,1,11,1,11,11
50,No,Travel_Rarely,273,Research & Development,29,5,Marketing,1,1970,1,Female,60,3,4,Sales Executive,4,Married,14318,15482,9,Y,No,15,3,2,80,1,37,0,3,33,0,11,5
49,Yes,Travel_Rarely,844,Sales,23,3,Human Resources,1,1971,4,Male,50,1,3,Healthcare Representative,4,Married,17000,20089,5,Y,No,11,3,3,80,0,39,0,1,18,12,4,9
52,No,Travel_Frequently,943,Human Resources,25,1,Other,1,1972,4,Male,35,2,3,Healthcare Representative,3,Married,17334,13474,1,Y,No,19,3,4,80,0,15,3,2,6,4,6,6
55,Yes,Travel_Rarely,1106,Research & Development,13,4,Technical Degree,1,1973,4,Male,38,4,2,Sales Representative,1,Single,15208,16497,6,Y,No,11,3,1,80,3,30,2,1,2,2,2,2
43,No,Travel_Rarely,438,Research & Development,28,2,Life Sciences,1,1974,2,Male,59,2,5,Manufacturing Director,1,Married,11492,13244,4,Y,No,13,3,3,80,0,29,5,1,29,8,15,14
28,Yes,Travel_Rarely,413,Research & Development,6,3,Marketing,1,1975,4,Male,47,2,4,Sales Executive,1,Single,3079,20064,6,Y,No,20,3,1,80,2,5,1,4,5,0,5,5
52,No,Travel_Rarely,223,Research & Development,1,3,Technical Degree,1,1976,4,Male,59,2,5,Manager,1,Married,7893,24424,6,Y,Yes,17,3,2,80,3,21,4,3,8,1,8,8
25,No,Travel_Frequently,519,Research & Development,5,4,Medical,1,1977,4,Female,89,3,4,Laboratory Technician,1,Divorced,16053,18226,2,Y,No,15,4,4,80,3,37,2,4,0,0,0,0
31,No,Travel_Rarely,1096,Sales,20,5,Life Sciences,1,1978,3,Male,84,1,4,Sales Representative,4,Divorced,13899,7305,1,Y,Yes,15,3,2,80,1,20,2,3,18,4,15,1
27,No,Travel_Rarely,1418,Sales,25,4,Other,1,1979,3,Male,39,1,5,Sales Executive,3,Single,10186,14237,3,Y,No,18,3,3,80,3,20,2,4,20,11,14,3
19,Yes,Travel_Rarely,1270,Research & Development,7,4,Human Resources,1,1980,1,Female,42,2,1,Manufacturing Director,2,Married,4900,5829,7,Y,Yes,24,3,4,80,2,4,2,4,4,4,3,4
26,Yes,Travel_Rarely,1231,Sales,1,5,Technical Degree,1,1981,3,Male,70,4,3,Human Resources,1,Married,15134,17877,2,Y,Yes,22,4,2,80,1,11,5,3,11,11,9,4
20,No,Travel_Rarely,1086,Research & Development,23,2,Marketing,1,1982,2,Female,31,4,1,Manager,2,Divorced,7372,8961,9,Y,No,23,3,2,80,1,26,5,1,23,15,3,17
38,No,Travel_Frequently,1480,Research & Development,11,5,Human Resources,1,1983,2,Female,34,1,3,Research Scientist,1,Single,8619,9443,1,Y,No,19,3,2,80,3,25,3,1,14,14,12,14
43,Yes,Travel_Rarely,1174,Research & Development,5,4,Medical,1,1984,1,Male,62,4,1,Manager,4,Single,12886,8141,2,Y,Yes,25,3,1,80,1,4,4,3,4,4,4,4
25,No,Travel_Frequently,787,Research & Development,2,1,Human Resources,1,1985,1,Female,94,2,5,Human Resources,4,Divorced,3425,13132,0,Y,No,21,3,1,80,0,15,0,3,14,5,13,14
19,No,Travel_Rarely,912,Research & Development,18,5,Marketing,1,1986,2,Female,66,1,5,Sales Executive,2,Divorced,9891,24922,5,Y,No,25,3,4,80,3,32,6,4,2,2,2,2
23,Yes,Travel_Frequently,509,Sales,29,2,Medical,1,1987,2,Female,90,1,4,Healthcare Representative,1,Married,8241,24350,4,Y,No,13,3,2,80,1,40,2,2,10,10,3,10
45,Yes,Travel_Rarely,486,Research & Development,1,5,Marketing,1,1988,2,Female,87,4,2,Research Director,1,Single,4278,17259,9,Y,Yes,14,3,3,80,0,36,1,4,2,2,1,2
46,No,Travel_Rarely,1199,Research & Development,15,5,Life Sciences,1,1989,1,Female,41,1,5,Sales Representative,3,Divorced,18612,11844,3,Y,Yes,23,3,2,80,0,24,0,4,19,3,8,17
43,No,Non-Travel,1284,Research & Development,15,3,Marketing,1,1990,2,Female,70,3,3,Research Scientist,3,Married,12319,24629,6,Y,No,13,4,2,80,0,16,1,4,16,14,5,15
42,Yes,Travel_Rarely,1275,Human Resources,24,3,Human Resources,1,1991,1,Female,57,2,4,Research Director,4,Single,6600,13509,2,Y,No,24,3,4,80,0,9,2,3,9,9,3,9
29,Yes,Travel_Frequently,951,Research & Development,16,4,Life Sciences,1,1992,2,Female,65,3,3,Human Resources,3,Divorced,17638,24463,9,Y,No,18,3,2,80,1,33,2,2,33,8,9,3
22,Yes,Travel_Frequently,1017,Research & Development,8,4,Life Sciences,1,1993,2,Female,71,1,1,Research Director,3,Married,5937,24669,5,Y,Yes,14,3,4,80,0,34,1,2,21,9,6,14
51,No,Travel_Rarely,887,Research & Development,27,5,Technical Degree,1,1994,3,Male,83,4,2,Manager,4,Single,8321,5652,1,Y,No,14,3,1,80,3,8,0,2,8,2,8,3
54,No,Travel_Rarely,250,Research & Development,13,1,Human Resources,1,1995,2,Female,83,3,5,Human Resources,1,Divorced,3825,21657,1,Y,No,20,3,4,80,1,39,2,2,7,0,5,5
32,No,Travel_Rarely,1466,Research & Development,7,4,Human Resources,1,1996,1,Female,67,3,1,Research Director,3,Married,14391,20509,5,Y,No,20,3,1,80,0,27,3,3,14,14,12,6
53,No,Travel_Rarely,342,Research & Development,24,5,Medical,1,1997,2,Male,98,3,4,Manufacturing Director,2,Married,11522,26310,2,Y,No,16,3,4,80,0,33,5,2,0,0,0,0
32,Yes,Non-Travel,1175,Research & Development,8,5,Marketing,1,1998,4,Male,87,4,3,Manager,3,Divorced,16292,4041,2,Y,Yes,14,3,1,80,1,30,4,2,1,1,1,1
60,No,Travel_Frequently,1197,Sales,14,5,Other,1,1999,3,Male,38,4,2,Healthcare Representative,4,Married,17808,9393,6,Y,No,15,3,4,80,1,37,4,2,28,4,11,12
40,No,Non-Travel,985,Research & Development,24,5,Marketing,1,2000,2,Female,77,1,5,Human Resources,2,Single,13888,24043,0,Y,No,25,3,2,80,0,39,5,3,15,15,10,15
23,No,Travel_Rarely,833,Research & Development,24,5,Human Resources,1,2001,2,Female,47,4,3,Manufacturing Director,4,Divorced,4729,18421,5,Y,Yes,24,3,4,80,2,13,0,2,13,3,2,0
60,No,Travel_Rarely,1101,Human Resources,26,3,Marketing,1,2002,4,Male,41,3,5,Sales Executive,2,Single,16971,9518,1,Y,No,23,3,2,80,1,10,1,1,10,10,10,2
38,Yes,Travel_Rarely,602,Research & Development,24,2,Human Resources,1,2003,4,Female,56,1,5,Human Resources,1,Divorced,9994,16496,6,Y,Yes,21,3,1,80,3,36,0,3,33,7,14,9
40,No,Travel_Rarely,793,Sales,2,2,Life Sciences,1,2004,4,Male,65,4,3,Human Resources,3,Single,4608,13107,1,Y,Yes,21,3,3,80,1,2,2,4,2,1,2,2
60,No,Travel_Rarely,1079,Sales,27,5,Marketing,1,2005,4,Male,78,2,5,Sales Representative,3,Married,5992,4547,2,Y,Yes,19,3,4,80,2,0,2,3,0,0,0,0
33,Yes,Travel_Rarely,503,Sales,4,4,Marketing,1,2006,4,Female,38,4,4,Healthcare Representative,2,Married,13844,24075,8,Y,Yes,17,3,4,80,3,7,6,2,7,7,1,7
32,Yes,Travel_Rarely,172,Sales,19,1,Human Resources,1,2007,4,Male,63,4,2,Sales Representative,4,Divorced,14586,20676,9,Y,No,19,3,2,80,0,24,6,1,24,10,10,10
42,Yes,Travel_Rarely,911,Research & Development,14,5,Human Resources,1,2008,2,Male,79,1,1,Human Resources,4,Divorced,11946,22985,5,Y,No,19,4,3,80,2,6,2,1,6,6,6,6
53,No,Travel_Rarely,630,Research & Development,26,1,Medical,1,2009,1,Female,79,1,2,Laboratory Technician,2,Single,2977,14004,1,Y,No,23,3,2,80,1,7,4,2,7,7,7,7
28,No,Travel_Rarely,610,Research & Development,17,3,Marketing,1,2010,2,Male,51,1,1,Healthcare Representative,3,Single,16008,13222,8,Y,No,15,3,3,80,2,20,4,3,16,0,13,13
32,No,Travel_Frequently,1366,Research & Development,2,2,Technical Degree,1,2011,2,Female,34,2,4,Laboratory Technician,2,Married,13509,17508,4,Y,Yes,25,3,4,80,2,4,1,2,4,4,4,4
21,Yes,Travel_Rarely,318,Sales,18,3,Human Resources,1,2012,2,Male,44,2,2,Research Director,1,Single,6356,7400,5,Y,Yes,22,3,3,80,0,32,2,1,32,4,5,16
38,No,Non-Travel,1034,Sales,22,4,Technical Degree,1,2013,3,Female,47,4,4,Sales Executive,3,Married,12288,4354,6,Y,No,14,3,2,80,2,7,5,3,7,7,7,7
30,No,Travel_Rarely,886,Sales,13,4,Life Sciences,1,2014,1,Female,44,4,3,Manufacturing Director,4,Divorced,19511,7774,2,Y,Yes,13,3,2,80,1,40,0,1,11,7,0,11
39,Yes,Travel_Rarely,707,Research & Development,27,5,Life Sciences,1,2015,1,Female,95,1,1,Sales Representative,1,Married,9167,12252,3,Y,No,13,4,2,80,3,27,1,1,3,3,3,0
36,No,Travel_Rarely,1426,Research & Development,24,4,Technical Degree,1,2016,3,Male,50,1,3,Human Resources,1,Married,17310,10958,7,Y,Yes,19,3,1,80,3,32,1,3,22,17,12,17
51,Yes,Travel_Frequently,1069,Sales,19,4,Other,1,2017,1,Female,90,2,3,Research Scientist,3,Married,2304,4492,8,Y,Yes,22,3,3,80,0,35,4,1,22,12,6,0
31,No,Travel_Rarely,264,Research & Development,2,3,Life Sciences,1,2018,3,Male,33,2,2,Human Resources,4,Married,10289,21296,4,Y,No,17,3,4,80,3,40,1,4,6,0,6,1
21,No,Travel_Rarely,263,Sales,24,1,Technical Degree,1,2019,2,Male,77,1,5,Manager,3,Married,13332,18106,5,Y,No,14,3,2,80,2,33,2,4,33,9,8,7
44,No,Travel_Rarely,856,Research & Development,25,2,Medical,1,2020,1,Male,30,4,5,Sales Representative,2,Divorced,16464,6631,2,Y,No,24,3,3,80,1,24,1,3,24,6,10,14
46,No,Travel_Rarely,716,Research & Development,5,4,Medical,1,2021,2,Female,36,2,4,Manufacturing Director,1,Married,8409,2216,9,Y,Yes,11,3,3,80,1,35,3,2,19,11,11,3
45,Yes,Travel_Rarely,460,Research & Development,19,4,Life Sciences,1,2022,4,Female,90,1,2,Healthcare Representative,3,Married,4684,25586,9,Y,No,18,3,4,80,2,16,5,1,10,10,10,10
52,No,Travel_Rarely,918,Research & Development,5,3,Technical Degree,1,2023,2,Female,82,1,3,Sales Executive,3,Divorced,19084,6374,9,Y,Yes,12,3,3,80,1,11,6,1,11,10,4,4
25,Yes,Travel_Rarely,1467,Human Resources,12,2,Technical Degree,1,2024,1,Female,64,1,4,Manufacturing Director,1,Divorced,12784,12223,6,Y,Yes,18,3,3,80,3,7,3,4,7,7,4,6
33,No,Travel_Rarely,1009,Sales,4,3,Technical Degree,1,2025,2,Male,50,2,3,Research Director,2,Divorced,16938,11411,7,Y,Yes,23,3,2,80,3,39,3,2,3,3,3,2
59,No,Travel_Rarely,306,Research & Development,9,1,Other,1,2026,2,Female,89,4,4,Manager,4,Single,19623,10175,5,Y,No,24,3,4,80,2,37,1,3,28,12,11,14
53,No,Travel_Rarely,152,Research & Development,7,3,Life Sciences,1,2027,3,Male,34,2,1,Sales Representative,3,Married,10690,25606,4,Y,Yes,21,3,3,80,0,23,3,2,23,0,13,16
47,No,Travel_Rarely,1310,Research & Development,21,2,Other,1,2028,1,Male,32,4,4,Sales Executive,1,Married,15495,8295,7,Y,No,18,3,2,80,2,36,3,2,30,7,3,2
35,Yes,Travel_Rarely,1330,Research & Development,27,2,Technical Degree,1,2029,2,Male,88,2,4,Sales Representative,1,Married,9530,3753,1,Y,Yes,13,3,2,80,0,14,0,1,14,12,1,14
19,No,Travel_Rarely,889,Research & Development,24,4,Human Resources,1,2030,3,Male,39,1,3,Manager,2,Married,2091,4364,9,Y,No,18,4,4,80,2,11,3,4,11,11,8,1
30,No,Travel_Rarely,343,Research & Development,2,1,Technical Degree,1,2031,1,Female,75,1,5,Manufacturing Director,3,Married,15493,14921,0,Y,No,16,3,3,80,0,23,2,1,23,9,13,12
21,Yes,Travel_Frequently,1211,Sales,28,5,Human Resources,1,2032,4,Male,79,3,3,Research Scientist,1,Divorced,4241,4776,3,Y,Yes,15,3,3,80,1,27,2,3,27,2,4,6
43,Yes,Travel_Rarely,1405,Research & Development,4,4,Medical,1,2033,2,Male,91,1,2,Research Scientist,2,Divorced,7562,17367,2,Y,No,15,3,3,80,0,27,1,1,13,13,9,5
42,No,Travel_Rarely,104,Sales,14,3,Human Resources,1,2034,2,Female,88,4,3,Sales Representative,3,Married,3196,5653,4,Y,No,11,3,2,80,0,3,3,1,3,0,3,3
47,No,Travel_Rarely,162,Sales,14,3,Medical,1,2035,2,Male,46,1,5,Laboratory Technician,4,Divorced,4840,19275,7,Y,No,16,3,4,80,3,16,4,3,12,2,8,12
28,No,Travel_Rarely,791,Research & Development,1,2,Life Sciences,1,2036,2,Male,85,3,2,Research Scientist,4,Married,10450,17604,0,Y,No,22,3,4,80,3,16,2,1,16,8,7,12
24,No,Travel_Rarely,613,Research & Development,3,2,Other,1,2037,2,Female,73,1,5,Laboratory Technician,3,Single,15766,15310,1,Y,No,25,3,1,80,2,13,1,4,13,7,12,2
48,No,Non-Travel,924,Sales,9,2,Other,1,2038,4,Male,48,1,2,Research Scientist,3,Single,14878,6707,5,Y,No,14,3,1,80,2,18,1,2,15,0,1,15
27,Yes,Non-Travel,138,Research & Development,3,5,Medical,1,2039,4,Female,47,2,3,Laboratory Technician,3,Single,4627,20657,0,Y,No,23,3,2,80,3,10,1,3,5,3,1,5
56,No,Travel_Rarely,1281,Research & Development,8,5,Medical,1,2040,1,Male,55,4,5,Healthcare Representative,3,Married,3153,20279,6,Y,No,17,4,2,80,3,27,5,1,7,7,7,1
30,No,Travel_Rarely,1151,Sales,25,4,Technical Degree,1,2041,1,Male,57,3,5,Healthcare Representative,2,Married,9906,18005,4,Y,No,14,3,2,80,0,35,4,3,20,10,8,0
